Code,School Name,Enrollment,Arts Index,Index Quartile,Grade Configuration,Local District,Board District
2146,ANNALEE EL,274,16,1,K- 6,South,7
2151,ANNANDALE EL,316,31,3,K- 6,Central,5
4356,ANTON EL,821,24,2,K- 6,East,2
2164,APPERSON EL,435,26,2,K- 5,Northeast,6
2178,ARAGON EL,373,12,1,K- 5,Central,5
2192,ARLINGTON HTS EL,573,14,1,K- 5,West,1
2205,ARMINTA EL,477,35,4,K- 5,Northeast,6
4322,ARROYO SECO MUSM SCI,527,30,3,K- 8,Central,2
2219,ASCOT EL,941,19,1,K- 5,Central,5
2233,ATWATER EL,341,10,1,K- 6,Central,5
4685,AURORA EL,481,26,2,K- 5,Central,7
2247,AVALON GARDENS EL,282,27,2,K- 6,South,7
6886,BACA ARTS ACAD,729,38,4,K- 6,South,7
4020,BAKEWELL PC,266,10,1,K- K,South,1
2269,BALBOA G/HA MAG,748,40,4,1-5,NorthWes,3
2274,BALDWIN HILLS EL,390,41,4,K- 5,West,1
2288,BANDINI EL,357,23,2,K- 6,South,7
5562,BARRETT EL,"1,061",18,1,K- 5,South,1
2315,BARTON HILL EL,725,33,3,K- 6,South,7
2323,BASSETT EL,893,31,3,K- 5,NorthWes,3
2329,BEACHY EL,659,27,2,K- 5,Northeast,6
2335,BECKFORD CHTR ENR ST,621,28,3,K- 5,NorthWes,3
2342,BEETHOVEN EL,331,42,4,K- 5,West,4
3577,BELLINGHAM EL,622,33,3,K- 5,Northeast,6
2397,BELVEDERE EL,840,28,3,K- 5,East,2
2438,BERTRAND EL,425,32,3,K- 5,NorthWes,6
2470,BLYTHE EL,535,30,3,K- 5,NorthWes,3
2470,Blythe EL,-,0,0,K- 5,NorthWes,3
2473,BONITA EL,521,22,2,K- 5,South,7
2479,BRADDOCK DRIVE EL,396,24,2,K- 5,West,4
7123,BRADLEY GLBL AWR MAG,375,33,3,K- 5,West,1
2486,BRAINARD EL,193,12,1,K- 5,Northeast,6
