Code,School Name,Enrollment,Arts Index,Index Quartile,Grade Configuration,Local District,Board District
8901,CHAVEZ LA TCHR PREP,556,21,1,9-12,Northeast,6
8688,CHEVIOT HILLS HS,79,25,1,9-12,West,1
8590,CLEVELAND CHTR HS,"3,252",39,3,9-12,Northwest,3
8062,CLINTON MS,875,19,1,6-8,Central,2
8245,COCHRAN MS,850,17,1,42163,West,1
8102,COLUMBUS MS,712,32,2,6-8,Northwest,3
8517,CONTRERAS BUS TOUR,471,22,1,9-12,Central,2
8517,CONTRERAS BUSINESS AND TO,471,22,1,9-12,Central,2
8207,CONTRERAS LC ALC,486,33,3,9-12,Central,2
8774,CONTRERAS LC GLBL ST,369,20,1,9-12,Central,2
8527,CONTRERAS LC SOC JUS,502,27,2,9-12,Central,2
8516,CORTINES SCH OF VPA,"1,704",73,4,9-12,Central,2
8596,CRENSHAW STEMM MAG,"1,050",25,1,9-14,West,1
8103,CURTISS MS,591,7,1,6-8,South,7
8104,DANA MS,"1,533",48,4,6-8,South,7
8110,DODSON MS,"1,847",37,3,6-8,South,7
8600,DORSEY SH,"1,152",50,4,9-12,West,1
8738,DOWNTWN BUSINESS MAG,"1,063",28,2,9-12,Central,2
8112,DREW MS,904,7,1,7-8,South,7
7667,DYMALLY SH,726,26,2,9-12,South,7
8614,EAGLE ROCK HS,"2,474",39,3,7-12,Central,5
8788,EARHART HS,105,25,1,9-12,Northeast,3
8710,EARLY COLLEGE ACAD,191,27,2,10-12,Central,2
8607,EAST VALLEY SH,697,44,4,9-12,Northeast,6
8113,EDISON MS,"1,266",34,3,6-8,South,7
8770,EINSTEIN HS,77,15,1,9-12,Northwest,6
8118,EL SERENO MS,"1,277",39,3,6-8,East,2
3548,ELIZABETH LC,"1,813",37,3,K-12,East,5
8123,EMERSON COMM CH,536,49,4,6-8,West,4
8876,EVERGREEN HS,83,12,1,9-12,Northeast,6
8621,FAIRFAX SH,"2,139",52,4,9-12,West,4
8127,FLEMING MS,"1,507",32,2,6-8,South,7
8132,FOSHAY LC,"1,952",60,4,K-12,Central,1
8643,FRANKLIN SH,"1,459",41,3,9-12,Central,5
8650,FREMONT SH,"2,050",44,4,9-12,South,7
8137,FROST MS,"1,617",43,4,6-8,Northwest,3
8142,FULTON COLLEGE PREP,"1,765",40,3,6-12,Northeast,6
8151,GAGE MS,"1,829",32,2,6-8,East,5
8664,Gardena High School,"1,620",35,3,42259,South,7
8679,GARFIELD SH,"2,563",42,4,9-12,East,2
